Step,class_contrastive_both_mod_single_label_imgs - train_thermal_class_pull_loss,class_contrastive_both_mod_single_label_imgs - train_thermal_class_pull_loss__MIN,class_contrastive_both_mod_single_label_imgs - train_thermal_class_pull_loss__MAX
616,0.269143611,0.269143611,0.269143611
617,0.029190693,0.029190693,0.029190693
618,0.532606423,0.532606423,0.532606423
619,0.022257248,0.022257248,0.022257248
621,0.264108241,0.264108241,0.264108241
622,0.270539194,0.270539194,0.270539194
623,0.025161875,0.025161875,0.025161875
624,0.017264582,0.017264582,0.017264582
625,0.277811915,0.277811915,0.277811915
626,0.022153037,0.022153037,0.022153037
627,0.023573887,0.023573887,0.023573887
628,0.546621144,0.546621144,0.546621144
629,0.043240845,0.043240845,0.043240845
630,0.278847069,0.278847069,0.278847069
631,0.527191758,0.527191758,0.527191758
632,0.149966851,0.149966851,0.149966851
633,0.030868478,0.030868478,0.030868478
634,0.087427489,0.087427489,0.087427489
635,0.38018164,0.38018164,0.38018164
636,0.154929787,0.154929787,0.154929787
637,0.016701801,0.016701801,0.016701801
639,0.038569923,0.038569923,0.038569923
640,0.273438662,0.273438662,0.273438662
641,0.414676011,0.414676011,0.414676011
642,0.300666243,0.300666243,0.300666243
643,0.03659001,0.03659001,0.03659001
644,0.032311082,0.032311082,0.032311082
645,0.032901511,0.032901511,0.032901511
646,0.041369751,0.041369751,0.041369751
649,0.025195045,0.025195045,0.025195045
651,0.276893705,0.276893705,0.276893705
653,0.026857326,0.026857326,0.026857326
655,0.023444505,0.023444505,0.023444505
656,0.023959549,0.023959549,0.023959549
657,0.017711645,0.017711645,0.017711645
658,0.027586458,0.027586458,0.027586458
659,0.035897572,0.035897572,0.035897572
660,0.026144469,0.026144469,0.026144469
661,0.014878832,0.014878832,0.014878832
662,0.021816971,0.021816971,0.021816971
663,0.181996107,0.181996107,0.181996107
664,0.019774269,0.019774269,0.019774269
665,0.024865601,0.024865601,0.024865601
666,0.027250323,0.027250323,0.027250323
667,0.034488056,0.034488056,0.034488056
668,0.265825331,0.265825331,0.265825331
669,0.26321432,0.26321432,0.26321432
670,0.044352915,0.044352915,0.044352915
671,0.263791263,0.263791263,0.263791263
673,0.017053427,0.017053427,0.017053427
676,0.01709857,0.01709857,0.01709857
677,0.265119404,0.265119404,0.265119404
678,0.025079597,0.025079597,0.025079597
679,0.022683695,0.022683695,0.022683695
681,0.030600406,0.030600406,0.030600406
682,0.027989812,0.027989812,0.027989812
683,0.279756725,0.279756725,0.279756725
684,0.035580426,0.035580426,0.035580426
685,0.266111016,0.266111016,0.266111016
686,0.132997409,0.132997409,0.132997409
687,0.027174857,0.027174857,0.027174857
688,0.018931773,0.018931773,0.018931773
689,0.020261388,0.020261388,0.020261388
690,0.051921707,0.051921707,0.051921707
691,0.022535808,0.022535808,0.022535808
692,0.012102184,0.012102184,0.012102184
693,0.012596631,0.012596631,0.012596631
694,0.267762154,0.267762154,0.267762154
695,0.019970285,0.019970285,0.019970285
696,0.020509567,0.020509567,0.020509567
697,0.02052705,0.02052705,0.02052705
698,0.017412223,0.017412223,0.017412223
699,0.522010207,0.522010207,0.522010207
700,0.016813686,0.016813686,0.016813686
702,0.123871945,0.123871945,0.123871945
703,0.277903944,0.277903944,0.277903944
704,0.012923731,0.012923731,0.012923731
705,0.021904955,0.021904955,0.021904955
706,0.020470945,0.020470945,0.020470945
707,0.024546176,0.024546176,0.024546176
708,0.261801004,0.261801004,0.261801004
709,0.262059242,0.262059242,0.262059242
710,0.287644416,0.287644416,0.287644416
711,0.015832283,0.015832283,0.015832283
712,0.011771509,0.011771509,0.011771509
713,0.016306186,0.016306186,0.016306186
714,0.047035072,0.047035072,0.047035072
716,0.017021848,0.017021848,0.017021848
717,0.012853079,0.012853079,0.012853079
718,0.011684866,0.011684866,0.011684866
719,0.26063934,0.26063934,0.26063934
720,0.107363604,0.107363604,0.107363604
721,0.28798303,0.28798303,0.28798303
722,0.008575713,0.008575713,0.008575713
723,0.014626446,0.014626446,0.014626446
724,0.014181537,0.014181537,0.014181537
725,0.017937651,0.017937651,0.017937651
726,0.037230939,0.037230939,0.037230939
727,0.013107084,0.013107084,0.013107084
729,0.043718446,0.043718446,0.043718446
730,0.535276771,0.535276771,0.535276771
731,0.047074091,0.047074091,0.047074091
732,0.022256799,0.022256799,0.022256799
733,0.011011736,0.011011736,0.011011736
734,0.025601825,0.025601825,0.025601825
735,0.028663669,0.028663669,0.028663669
736,0.071217395,0.071217395,0.071217395
737,0.01906869,0.01906869,0.01906869
738,0.012506958,0.012506958,0.012506958
739,0.016577076,0.016577076,0.016577076
740,0.022833161,0.022833161,0.022833161
741,0.038205042,0.038205042,0.038205042
742,0.019552348,0.019552348,0.019552348
744,0.010707065,0.010707065,0.010707065
745,0.03430998,0.03430998,0.03430998
746,0.031462897,0.031462897,0.031462897
747,0.0389666,0.0389666,0.0389666
750,0.01450849,0.01450849,0.01450849
751,0.263107687,0.263107687,0.263107687
752,0.013761513,0.013761513,0.013761513
753,0.010612231,0.010612231,0.010612231
756,0.023089593,0.023089593,0.023089593
757,0.043942802,0.043942802,0.043942802
758,0.275287926,0.275287926,0.275287926
759,0.036065023,0.036065023,0.036065023
760,0.009287879,0.009287879,0.009287879
761,0.270167708,0.270167708,0.270167708
762,0.025540954,0.025540954,0.025540954
763,0.012096964,0.012096964,0.012096964
764,0.013325415,0.013325415,0.013325415
765,0.018464684,0.018464684,0.018464684
766,0.00942824,0.00942824,0.00942824
767,0.01246907,0.01246907,0.01246907
768,0.518850148,0.518850148,0.518850148
769,0.022959832,0.022959832,0.022959832
770,0.105551966,0.105551966,0.105551966
771,0.00572825,0.00572825,0.00572825
772,0.03195066,0.03195066,0.03195066
773,0.009369303,0.009369303,0.009369303
774,0.014648963,0.014648963,0.014648963
775,0.067862675,0.067862675,0.067862675
776,0.025652481,0.025652481,0.025652481
777,0.273213655,0.273213655,0.273213655
778,0.020912481,0.020912481,0.020912481
779,0.016313551,0.016313551,0.016313551
780,0.009170621,0.009170621,0.009170621
